1-й тур
20.04.2022 Ланс  -  Монпелье _ : _
20.04.2022 Лорьян  -  Метц _ : _
20.04.2022 Марсель  -  Нант _ : _
20.04.2022 Монако  -  Ницца _ : _
20.04.2022 Реймс  -  Лилль _ : _
20.04.2022 Страсбур  -  Ренн _ : _
20.04.2022 Труа  -  Клермон Фут _ : _
34-й тур
24.04.2022 Клермон Фут  -  Анже _ : _
24.04.2022 Лилль  -  Страсбур _ : _
24.04.2022 Лион  -  Монпелье _ : _
24.04.2022 Метц  -  Брест _ : _
24.04.2022 Нант  -  Бордо _ : _
24.04.2022 Ницца  -  Труа _ : _
24.04.2022 ПСЖ  -  Ланс _ : _
24.04.2022 Реймс  -  Марсель _ : _
24.04.2022 Ренн  -  Лорьян _ : _
24.04.2022 Сент-Этьен  -  Монако _ : _
35-й тур
01.05.2022 Бордо  -  Ницца _ : _
01.05.2022 Брест  -  Клермон Фут _ : _
01.05.2022 Ланс  -  Нант _ : _
01.05.2022 Лорьян  -  Реймс _ : _
01.05.2022 Марсель  -  Лион _ : _
01.05.2022 Монако  -  Анже _ : _
01.05.2022 Монпелье  -  Метц _ : _
01.05.2022 Ренн  -  Сент-Этьен _ : _
01.05.2022 Страсбур  -  ПСЖ _ : _
01.05.2022 Труа  -  Лилль _ : _
36-й тур
08.05.2022 Анже  -  Бордо _ : _
08.05.2022 Брест  -  Страсбур _ : _
08.05.2022 Клермон Фут  -  Монпелье _ : _
08.05.2022 Лилль  -  Монако _ : _
08.05.2022 Лорьян  -  Марсель _ : _
08.05.2022 Метц  -  Лион _ : _
08.05.2022 Нант  -  Ренн _ : _
08.05.2022 Ницца  -  Сент-Этьен _ : _
08.05.2022 ПСЖ  -  Труа _ : _
08.05.2022 Реймс  -  Ланс _ : _
37-й тур
14.05.2022 Бордо  -  Лорьян _ : _
14.05.2022 Лион  -  Нант _ : _
14.05.2022 Метц  -  Анже _ : _
14.05.2022 Монако  -  Брест _ : _
14.05.2022 Монпелье  -  ПСЖ _ : _
14.05.2022 Ницца  -  Лилль _ : _
14.05.2022 Ренн  -  Марсель _ : _
14.05.2022 Сент-Этьен  -  Реймс _ : _
14.05.2022 Страсбур  -  Клермон Фут _ : _
14.05.2022 Труа  -  Ланс _ : _
38-й тур
21.05.2022 Анже  -  Монпелье _ : _
21.05.2022 Брест  -  Бордо _ : _
21.05.2022 Клермон Фут  -  Лион _ : _
21.05.2022 Ланс  -  Монако _ : _
21.05.2022 Лилль  -  Ренн _ : _
21.05.2022 Лорьян  -  Труа _ : _
21.05.2022 Марсель  -  Страсбур _ : _
21.05.2022 Нант  -  Сент-Этьен _ : _
21.05.2022 ПСЖ  -  Метц _ : _
21.05.2022 Реймс  -  Ницца _ : _
