1-й тур
15.01.2022 Тоттенхэм Хотспур  -  Арсенал _ : _
23-й тур
22.01.2022 Арсенал  -  Бернли _ : _
22.01.2022 Брентфорд  -  Вулверхэмптон Уондерерс _ : _
22.01.2022 Кристал Пэлас  -  Ливерпуль _ : _
22.01.2022 Лестер  -  Брайтон & Хоув _ : _
22.01.2022 Лидс  -  Ньюкасл Юнайтед _ : _
22.01.2022 Манчестер Юнайтед  -  Вест Хэм Юнайтед _ : _
22.01.2022 Саутгемптон  -  Манчестер Сити _ : _
22.01.2022 Уотфорд  -  Норвич _ : _
22.01.2022 Челси  -  Тоттенхэм Хотспур _ : _
22.01.2022 Эвертон  -  Астон Вилла _ : _
24-й тур
08.02.2022 Астон Вилла  -  Лидс _ : _
08.02.2022 Бернли  -  Манчестер Юнайтед _ : _
08.02.2022 Брайтон & Хоув  -  Челси _ : _
08.02.2022 Вест Хэм Юнайтед  -  Уотфорд _ : _
08.02.2022 Вулверхэмптон Уондерерс  -  Арсенал _ : _
08.02.2022 Норвич  -  Кристал Пэлас _ : _
09.02.2022 Ньюкасл Юнайтед  -  Эвертон _ : _
09.02.2022 Тоттенхэм Хотспур  -  Саутгемптон _ : _
09.02.2022 Ливерпуль  -  Лестер _ : _
09.02.2022 Манчестер Сити  -  Брентфорд _ : _
25-й тур
12.02.2022 Бернли  -  Ливерпуль _ : _
12.02.2022 Брентфорд  -  Кристал Пэлас _ : _
12.02.2022 Лестер  -  Вест Хэм Юнайтед _ : _
12.02.2022 Манчестер Юнайтед  -  Саутгемптон _ : _
12.02.2022 Норвич  -  Манчестер Сити _ : _
12.02.2022 Ньюкасл Юнайтед  -  Астон Вилла _ : _
12.02.2022 Тоттенхэм Хотспур  -  Вулверхэмптон Уондерерс _ : _
12.02.2022 Уотфорд  -  Брайтон & Хоув _ : _
12.02.2022 Челси  -  Арсенал _ : _
12.02.2022 Эвертон  -  Лидс _ : _
26-й тур
19.02.2022 Арсенал  -  Брентфорд _ : _
19.02.2022 Астон Вилла  -  Уотфорд _ : _
19.02.2022 Брайтон & Хоув  -  Бернли _ : _
19.02.2022 Вест Хэм Юнайтед  -  Ньюкасл Юнайтед _ : _
